file_path,title,document_type,business_unit,owner,status,last_reviewed,next_review_due,authoritative_source
README.md,Grumble & Crumb Goblin Bakery Operations Manual,overview,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
CONTRIBUTING.md,Contributing to the Operations Manual,overview,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
GOVERNANCE.md,Knowledge Base Governance,overview,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
CHANGELOG.md,Changelog,overview,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
00-start-here/overview.md,Knowledge Base Overview,overview,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
00-start-here/how-to-use-this-repo.md,How to Use This Repository,overview,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
00-start-here/agent-instructions.md,AI Agent Operating Instructions,overview,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
00-start-here/glossary.md,Bakery and Operations Glossary,reference,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/_index.md,Bakery Operations Content Index,overview,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/process-map.md,Bakery Operations Process Map,reference,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/procedures/open-morning-bakery.md,Open Morning Bakery,procedure,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/procedures/prepare-whispering-sourdough.md,Prepare Whispering Sourdough,procedure,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/procedures/prepare-dragon-pepper-rolls.md,Prepare Dragon-Pepper Rolls,procedure,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/procedures/decorate-singing-cake.md,Decorate Singing Cake,procedure,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/procedures/handle-overactive-pastry.md,Handle Overactive Pastry,procedure,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/procedures/process-customer-refund.md,Process Customer Refund,procedure,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/procedures/restock-magical-ingredients.md,Restock Magical Ingredients,procedure,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/procedures/close-evening-shift.md,Close Evening Shift,procedure,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/policies/magical-food-safety-policy.md,Magical Food Safety Policy,policy,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
